"categoryid","name","pos"
"0","adj.all","a"
"1","adj.pert","a"
"2","adv.all","r"
"3","noun.tops","n"
"4","noun.act","n"
"5","noun.animal","n"
"6","noun.artifact","n"
"7","noun.attribute","n"
"8","noun.body","n"
"9","noun.cognition","n"
"10","noun.communication","n"
"11","noun.event","n"
"12","noun.feeling","n"
"13","noun.food","n"
"14","noun.group","n"
"15","noun.location","n"
"16","noun.motive","n"
"17","noun.object","n"
"18","noun.person","n"
"19","noun.phenomenon","n"
"20","noun.plant","n"
"21","noun.possession","n"
"22","noun.process","n"
"23","noun.quantity","n"
"24","noun.linkdef","n"
"25","noun.shape","n"
"26","noun.state","n"
"27","noun.substance","n"
"28","noun.time","n"
"29","verb.body","v"
"30","verb.change","v"
"31","verb.cognition","v"
"32","verb.communication","v"
"33","verb.competition","v"
"34","verb.consumption","v"
"35","verb.contact","v"
"36","verb.creation","v"
"37","verb.emotion","v"
"38","verb.motion","v"
"39","verb.perception","v"
"40","verb.possession","v"
"41","verb.social","v"
"42","verb.stative","v"
"43","verb.weather","v"
"44","adj.ppl","a"
