"mapid","synsetid","synsetid2","score"
"1","108521405","108114107","100"
"2","108822063","108395122","100"
"3","104449347","104329052","100"
"4","113561555","112967124","100"
"5","113561770","112967339","100"
"6","114733953","114081713","100"
"7","100470131","100450497","100"
"8","113565509","112970994","100"
"9","113569316","112974670","100"
"10","113569755","112975109","100"
"11","113570176","112975390","100"
"12","113570315","112975529","100"
"13","113570444","112975658","100"
"14","113570740","112975954","100"
"15","113565669","112971154","100"
"16","100630910","100601173","100"
"17","114986716","114326265","100"
"18","113565782","112971267","100"
"19","106960153","106624824","100"
"20","113569485","112974839","100"
"21","113566190","112971675","100"
"22","113566339","112971824","100"
"23","113569415","112974769","100"
"24","115001389","114339870","100"
"25","113566460","112971945","100"
"26","114949720","114291111","100"
"27","114963841","114303832","100"
"28","107929927","107550796","100"
"29","115029079","114367102","100"
"30","113566579","112972064","100"
"31","106390001","106075375","100"
"32","113566698","112972183","100"
"33","113570069","112975283","100"
"34","114950866","114292257","100"
"35","114951237","114292628","100"
"36","114951723","114293114","100"
"37","114952108","114293499","100"
"38","114952494","114293885","100"
"39","107933153","107553825","100"
"40","113566820","112972305","100"
"41","114949891","114291282","100"
"42","114950204","114291595","100"
"43","114950495","114291886","100"
"44","114950786","114292177","100"
"45","114951157","114292548","100"
"46","114951643","114293034","100"
"47","114952017","114293408","100"
"48","114952403","114293794","100"
"49","113566944","112972429","100"
"50","114949640","114291031","100"
"51","114949800","114291191","100"
"52","114950113","114291504","100"
"53","114950405","114291796","100"
"54","114950696","114292087","100"
"55","114951067","114292458","100"
"56","114951551","114292942","100"
"57","114951926","114293317","100"
"58","114952312","114293703","100"
"59","106349829","106036619","100"
"60","106374148","106059932","100"
"61","106349182","106035994","100"
"62","106374946","106060706","100"
"63","106348828","106035642","100"
"64","106182941","105883181","100"
"65","110678257","110133824","100"
"66","110668922","110124887","100"
"67","110666339","110122361","100"
"68","110670551","110126419","100"
"69","110671034","110126898","100"
"70","111025288","110463140","100"
"71","113562279","112967848","100"
"72","100470262","100450628","100"
"73","114812592","114158102","100"
"74","114421978","113779380","100"
"75","113567065","112972550","100"
"76","113567183","112972668","100"
"77","113567304","112972789","100"
"78","113567430","112972915","100"
"79","113567559","112973044","100"
"80","114919658","114262167","100"
"81","113567700","112973185","100"
"82","113567827","112973312","100"
"83","113567954","112973439","100"
"84","113568083","112973568","100"
"85","113568215","112973700","100"
"86","106350094","106036883","100"
"87","106374337","106060100","100"
"88","106349376","106036187","100"
"89","106375096","106060855","100"
"90","106349004","106035817","100"
"91","113563059","112968628","100"
"92","100470392","100450758","100"
"93","113568344","112973829","100"
"94","115028974","114366997","100"
"95","115003027","114341372","100"
"96","115003126","114341471","100"
"97","104375045","104256197","100"
"98","107907186","107529927","100"
"99","103595367","103500186","100"
"100","113563319","112968888","100"
"101","100470524","100450890","100"
"102","113568464","112973949","100"
"103","105836691","105567769","100"
"104","113471971","112880551","100"
"105","105036845","104818175","100"
"106","113563536","112969105","100"
"107","100470650","100451016","100"
"108","114418600","113776012","100"
"109","114613443","113964772","100"
"110","113568581","112974066","100"
"111","113569623","112974977","100"
"112","113563737","112969306","100"
"113","113568697","112974182","100"
"114","115028658","114366717","100"
"115","114963483","114303478","100"
"116","113563931","112969500","100"
"117","113568813","112974298","100"
"118","113564083","112969640","100"
"119","113569065","112974419","100"
"120","113471844","112880424","100"
"121","114963723","114303715","100"
"122","105036469","104817799","100"
"123","113564267","112969824","100"
"124","115099473","114434730","100"
"125","113569198","112974552","100"
"126","108231675","107838653","100"
"127","102727215","102657581","100"
"128","108537696","108129257","100"
"129","106399464","106084816","100"
"130","107967048","107586718","100"
"131","111015368","110453494","100"
"132","111017787","110455896","100"
"133","110744841","110196345","100"
"134","110712333","110166213","100"
"135","110899033","110342681","100"
"136","110938222","110378744","100"
"137","110999890","110438375","100"
"138","110734846","110187529","100"
"139","102532602","102465727","100"
"140","111111091","110543857","100"
"141","102642380","102575297","100"
"142","100540685","100518607","100"
"143","110649289","110106086","100"
"144","106411052","106096073","100"
"145","114239335","113613562","100"
"146","113918779","113302311","100"
"147","108646288","108231804","100"
"148","108657175","108241275","100"
"149","108639158","108224877","100"
"150","112572762","111992004","100"
"151","108724891","108304656","100"
"152","110645164","110102004","100"
"153","109054362","108614198","100"
"154","102062819","101999961","100"
"155","102097554","102034376","100"
"156","108639019","108224740","100"
"157","112721088","112139858","100"
"158","110712558","110166437","100"
"159","110748302","110199135","100"
"160","108371852","107972749","100"
"161","106608502","106285961","100"
"162","102641747","102574669","100"
"163","106339712","106026768","100"
"164","108783905","108360313","100"
"165","101923000","101860589","100"
"166","113458042","112866820","100"
"167","109957665","109459453","100"
"168","109610984","109135264","100"
"169","102642275","102575192","100"
"170","114103418","113483586","100"
"171","107405979","107047863","100"
"172","114356447","113717918","100"
"173","114356661","113718096","100"
"174","105758041","105493596","100"
"175","100357548","100345035","100"
"176","102642487","102575404","100"
"177","102642685","102575602","100"
