"morphid","lemma"
"1","aardwolves"
"2","abaci"
"3","abetted"
"4","abetting"
"5","abhorred"
"6","abhorring"
"7","abode"
"8","aboideaux"
"9","aboiteaux"
"10","abought"
"11","about-shipped"
"12","about-shipping"
"13","abscissae"
"14","abutted"
"15","abutting"
"16","abye"
"17","acanthi"
"18","acari"
"19","acciaccature"
"20","accompanied"
"21","acer"
"22","acetabula"
"23","acetified"
"24","achaemenidae"
"25","achaemenides"
"26","acicula"
"27","aciculae"
"28","acidified"
"29","acini"
"30","acquitted"
"31","acquitting"
"32","acre-feet"
"33","acromia"
"34","actiniae"
"35","actinozoa"
"36","ad-libbed"
"37","ad-libbing"
"38","addenda"
"39","addrest"
"40","adenocarcinomata"
"41","adenomata"
"42","adieux"
"43","admitted"
"44","admitting"
"45","adyta"
"46","aecia"
"47","aecidia"
"48","aerified"
"49","aerobia"
"50","after"
"51","agents-general"
"52","aggiornamenti"
"53","agnomina"
"54","agones"
"55","agorae"
"56","agouties"
"57","aides-de-camp"
"58","aides-memoire"
"59","aids-de-camp"
"60","air-dried"
"61","airdropped"
"62","airdropping"
"63","airier"
"64","airiest"
"65","alae"
"66","alewives"
"67","alkalies"
"68","alkalified"
"69","all-arounder"
"70","allied"
"71","allodia"
"72","allotted"
"73","allotting"
"74","allowed for"
"75","allowing for"
"76","allows for"
"77","alluvia"
"78","alodia"
"79","alto-relievos"
"80","altocumuli"
"81","altostrati"
"82","alulae"
"83","alumnae"
"84","alumni"
"85","alveoli"
"86","am"
"87","amanuenses"
"88","ambulacra"
"89","amebae"
"90","amici curiae"
"91","ammonified"
"92","amnestied"
"93","amnia"
"94","amniocenteses"
"95","amoebae"
"96","amoebiases"
"97","amoraim"
"98","amoretti"
"99","amorini"
"100","amphiarthroses"
"101","amphicia"
"102","amphimixes"
"103","amphioxi"
"104","amphisbaenae"
"105","amphorae"
"106","amplified"
"107","ampullae"
"108","amygdalae"
"109","anabases"
"110","anacolutha"
"111","anacruses"
"112","anaerobia"
"113","anagnorises"
"114","analemmata"
"115","analyses"
"116","anamneses"
"117","anamorphoses"
"118","anastomoses"
"119","anatyxes"
"120","ancones"
"121","androclinia"
"122","androecia"
"123","androsphinges"
"124","andtheridia"
"125","angelfishes"
"126","angiomata"
"127","anglified"
"128","angrier"
"129","angriest"
"130","animalcula"
"131","anlagen"
"132","annattos"
"133","annuli"
"134","annulled"
"135","annulling"
"136","antae"
"137","antalkalies"
"138","antefixa"
"139","antennae"
"140","antependia"
"141","anthelia"
"142","anthelices"
"143","anthemia"
"144","antheridia"
"145","anthodia"
"146","anthozoa"
"147","anthraces"
"148","anticlinoria"
"149","antihelices"
"150","antiheroes"
"151","antisera"
"152","antitheses"
"153","antitragi"
"154","antra"
"155","anus"
"156","aortae"
"157","aphelia"
"158","aphides"
"159","apices"
"160","apodoses"
"161","apomixes"
"162","aponeuroses"
"163","apophyses"
"164","aposiopeses"
"165","apothecia"
"166","apotheoses"
"167","appalled"
"168","appalling"
"169","apparatus"
"170","appendices"
"171","applied"
"172","appoggiature"
"173","apsides"
"174","aquae"
"175","aquaria"
"176","araglis"
"177","arboreta"
"178","arcana"
"179","archegonia"
"180","archer"
"181","archerfishes"
"182","archesporia"
"183","archipelagoes"
"184","arcked"
"185","arcking"
"186","arcs-boutants"
"187","are"
"188","areolae"
"189","argali"
"190","argufied"
"191","argumenta"
"192","ariette"
"193","arisen"
"194","aristae"
"195","armamentaria"
"196","arose"
"197","arses"
"198","artal"
"199","artel"
"200","arterioscleroses"
"201","artier"
"202","artiest"
"203","aruspices"
"204","asceses"
"205","asci"
"206","ascidia"
"207","ascogonia"
"208","ashes"
"209","ashier"
"210","ashiest"
"211","ashkenazim"
"212","aspergilla"
"213","aspergilli"
"214","aspergilloses"
"215","aspersoria"
"216","assaulter"
"217","assegais"
"218","astragali"
"219","asyndeta"
"220","ate"
"221","atheromata"
"222","atheroscleroses"
"223","atmolyses"
"224","atria"
"225","atrophied"
"226","attacker"
"227","attorneys-at-law"
"228","auditoria"
"229","aurae"
"230","aurar"
"231","aurei"
"232","auriculae"
"233","aurorae"
"234","auspices"
"235","autocatalyses"
"236","autochthones"
"237","automata"
"238","autos-da-fe"
"239","averred"
"240","averring"
"241","avitaminoses"
"242","awoke"
"243","awoken"
"244","axes"
"245","axillae"
"246","babied"
"247","baby-sat"
"248","baby-sitting"
"249","bacchantes"
"250","bacchii"
"251","bacilli"
"252","back-pedalled"
"253","back-pedalling"
"254","backbit"
"255","backbitten"
"256","backer"
"257","backslid"
"258","backslidden"
"259","bacteriostases"
"260","bacula"
"261","bade"
"262","bagged"
"263","baggier"
"264","baggiest"
"265","bagging"
"266","bains marie"
"267","bains-marie"
"268","balkier"
"269","balkiest"
"270","ballistae"
"271","ballyragged"
"272","ballyragging"
"273","balmier"
"274","balmiest"
"275","bambini"
"276","bandeaux"
"277","bandied"
"278","bandier"
"279","bandiest"
"280","banditti"
"281","bani"
"282","banjoes"
"283","banned"
"284","banning"
"285","bargainer"
"286","barklice"
"287","barmier"
"288","barmiest"
"289","barramundies"
"290","barred"
"291","barrelled"
"292","barrelling"
"293","barring"
"294","bases"
"295","bases on balls"
"296","bases-on-balls"
"297","basidia"
"298","basified"
"299","basileis"
"300","bassi"
"301","bastinadoes"
"302","bateaux"
"303","batfishes"
"304","batted"
"305","battier"
"306","battiest"
"307","batting"
"308","baulkier"
"309","baulkiest"
"310","bawdier"
"311","bawdiest"
"312","bayer"
"313","bayonetted"
"314","bayonetting"
"315","beadier"
"316","beadiest"
"317","beadsmen"
"318","beastlier"
"319","beastliest"
"320","beaten"
"321","beater"
"322","beatified"
"323","beautified"
"324","beaux"
"325","became"
"326","became known"
"327","beches-de-mer"
"328","becomes known"
"329","bed"
"330","bedded"
"331","bedding"
"332","bedevilled"
"333","bedevilling"
"334","bedimmed"
"335","bedimming"
"336","beefier"
"337","beefiest"
"338","been"
"339","beerier"
"340","beeriest"
"341","beeves"
"342","befallen"
"343","befell"
"344","befitted"
"345","befitting"
"346","befogged"
"347","befogging"
"348","began"
"349","begat"
"350","begetting"
"351","begged"
"352","begging"
"353","beginning"
"354","begirt"
"355","begot"
"356","begotten"
