"wordid","pos","morphid"
"391","n","1"
"411","n","2"
"521","v","3"
"521","v","4"
"531","v","5"
"531","v","6"
"536","v","7"
"849","v","10"
"716","n","13"
"840","v","14"
"840","v","15"
"849","v","16"
"936","n","17"
"961","n","18"
"1028","n","19"
"1069","v","20"
"1183","a","21"
"1212","n","22"
"1226","v","23"
"1318","n","27"
"1344","v","28"
"1369","n","29"
"1463","v","30"
"1463","v","31"
"1471","n","32"
"1523","n","33"
"1579","n","34"
"1625","n","35"
"1756","v","36"
"1756","v","37"
"1816","n","38"
"1843","v","39"
"1881","n","40"
"1887","n","41"
"1941","n","42"
"2047","v","43"
"2047","v","44"
"2273","n","46"
"2339","v","48"
"2598","a","50"
"2823","n","53"
"2831","n","54"
"2852","n","55"
"2855","n","56"
"2958","n","57"
"2959","n","58"
"3085","v","60"
"3117","v","61"
"3117","v","62"
"3175","a","63"
"3175","a","64"
"3260","n","65"
"3551","n","66"
"3769","n","67"
"3775","v","68"
"4070","v","70"
"4029","v","72"
"4029","v","73"
"4039","v","74"
"4039","v","75"
"4039","v","76"
"4069","n","77"
"4335","n","80"
"4341","n","81"
"4348","n","82"
"4372","n","83"
"4373","n","84"
"4392","n","85"
"12320","v","86"
"4423","n","87"
"4532","n","88"
"4553","n","89"
"4822","n","90"
"4877","v","91"
"4900","v","92"
"4904","n","93"
"4903","n","94"
"4916","n","95"
"4918","n","96"
"4931","n","97"
"5003","n","102"
"5006","n","103"
"5014","n","104"
"5027","n","105"
"5037","v","106"
"5046","n","107"
"5080","n","108"
"5145","n","110"
"5227","n","115"
"5245","n","116"
"5251","n","117"
"5316","n","118"
"5478","n","122"
"6221","n","124"
"5591","n","125"
"5627","n","126"
"5722","a","128"
"5722","a","129"
"5815","n","130"
"5895","n","131"
"5986","n","133"
"5978","v","134"
"5978","v","135"
"6159","n","138"
"6166","n","139"
"6221","n","144"
"6251","n","146"
"6256","n","147"
"6427","n","150"
"6525","n","151"
"6536","n","152"
"6609","n","154"
"6624","n","155"
"6654","n","156"
"6721","n","157"
"6730","n","158"
"6708","n","159"
"6862","n","161"
"6864","n","162"
"6872","n","163"
"6882","n","164"
"6908","n","165"
"6913","n","166"
"6917","v","167"
"6922","v","167"
"6917","v","168"
"6922","v","168"
"6929","n","169"
"6978","n","170"
"7057","v","171"
"7058","n","172"
"7160","n","173"
"7180","n","174"
"7193","n","175"
"7656","n","176"
"7371","n","177"
"7407","n","178"
"7461","n","179"
"7474","a","180"
"7475","n","181"
"7480","n","182"
"7503","n","183"
"7388","v","184"
"7388","v","185"
"7397","n","186"
"12320","v","187"
"7642","n","188"
"7656","n","189"
"7700","v","190"
"7742","n","192"
"7762","v","193"
"7764","n","194"
"7837","n","195"
"7762","v","196"
"112890","n","198"
"112890","n","199"
"8232","n","200"
"8412","a","201"
"8412","a","202"
"8517","n","204"
"8570","n","205"
"8581","n","208"
"8617","a","209"
"8617","a","210"
"8606","n","211"
"8709","n","213"
"8708","n","214"
"8714","n","215"
"8792","a","216"
"8773","n","217"
"8797","n","217"
"9006","n","218"
"9095","n","219"
"40367","v","220"
"9220","n","221"
"9223","n","222"
"9501","n","224"
"9517","v","225"
"9537","a","226"
"9699","n","228"
"9781","n","229"
"45300","n","230"
"9793","n","232"
"9817","n","233"
"9828","n","234"
"9830","n","234"
"9977","n","235"
"9979","n","236"
"10059","n","237"
"9967","n","238"
"10183","v","239"
"10183","v","240"
"10233","n","241"
"10266","v","242"
"10266","v","243"
"10311","n","244"
"10341","n","244"
"10328","n","245"
"10494","v","246"
"10525","v","247"
"10525","v","248"
"10549","n","249"
"10550","n","249"
"10591","n","251"
"10635","v","254"
"10635","v","255"
"10649","a","256"
"10696","v","257"
"10696","v","258"
"10765","n","259"
"13716","v","261"
"10826","v","262"
"10843","a","263"
"10843","a","264"
"10826","v","265"
"10891","n","267"
"11039","a","268"
"11039","a","269"
"11086","n","270"
"11130","v","271"
"11130","v","272"
"11137","a","273"
"11137","a","274"
"11183","n","275"
"11223","n","276"
"11259","v","277"
"11259","a","278"
"11259","a","279"
"11243","n","280"
"11193","n","281"
"11295","n","282"
"11193","v","283"
"11193","v","284"
"11550","a","285"
"11599","a","287"
"11599","a","288"
"11685","n","289"
"11416","v","290"
"11693","v","291"
"11693","v","292"
"11416","v","293"
"11790","n","294"
"11886","n","294"
"11794","n","295"
"11794","n","296"
"11860","n","297"
"11862","v","298"
"11873","n","299"
"11961","n","300"
"11996","n","301"
"12016","n","303"
"12006","v","304"
"12235","a","305"
"12235","a","306"
"12006","v","307"
"12260","a","310"
"12260","a","311"
"12296","a","312"
"12302","v","313"
"12302","v","314"
"12384","a","315"
"12384","a","316"
"12382","n","317"
"12625","n","317"
"12491","a","318"
"12491","a","319"
"12492","v","320"
"12506","a","321"
"12510","v","322"
"12541","v","323"
"12522","n","324"
"12580","v","325"
"12586","v","329"
"12586","v","330"
"12586","v","331"
"12626","v","332"
"12626","v","333"
"12637","v","334"
"12637","v","335"
"12731","a","336"
"12731","a","337"
"12320","v","338"
"12753","a","339"
"12753","a","340"
"12695","n","341"
"12768","v","342"
"12768","v","343"
"12769","v","344"
"12769","v","345"
"12772","v","346"
"12772","v","347"
"12809","v","348"
"12789","v","349"
"12789","v","350"
"12787","v","351"
"12787","v","352"
"12809","v","353"
"12789","v","355"
"12789","v","356"
"12809","v","357"
"12863","v","358"
"12863","v","359"
"12880","v","361"
"12880","v","362"
"13026","v","363"
"13037","v","364"
"13037","v","365"
"12928","v","366"
"13161","v","369"
"13161","v","370"
"13118","v","372"
"13375","v","373"
"13401","v","375"
"13397","v","376"
"13415","v","377"
"13415","v","378"
"58843","a","379"
"143642","r","379"
"13449","v","380"
"13449","v","381"
"13455","v","382"
"13456","v","383"
"13456","v","384"
"13456","v","385"
"13507","v","387"
"13459","v","389"
"58843","a","390"
"143642","a","390"
"143642","r","390"
"13459","v","391"
"13562","v","392"
"13562","v","393"
"13621","v","395"
"13621","v","396"
"13655","n","397"
"13670","n","398"
"13671","n","398"
"13716","v","399"
"13716","v","400"
"13752","a","401"
"13752","a","402"
"13851","n","403"
"13925","n","406"
"13975","n","407"
"13994","v","409"
"13994","v","410"
"14371","v","414"
"14370","a","415"
"14370","a","416"
"14376","a","417"
"14361","v","418"
"14371","v","419"
"14433","a","420"
"14433","a","421"
"14361","v","422"
"14448","v","423"
"14448","v","424"
"14461","v","425"
"14461","v","426"
"14684","v","427"
"14706","n","428"
"14704","n","429"
"14723","v","430"
"14723","v","431"
"14845","n","432"
"14883","n","433"
"14885","v","434"
"14885","v","435"
"14926","a","436"
"14926","a","437"
"14935","v","438"
"14969","v","439"
"15238","v","440"
"15042","v","443"
"15042","v","444"
"15071","v","445"
"15071","v","446"
"15206","v","447"
"15206","a","448"
"15206","a","449"
"15201","a","450"
"15201","a","451"
"15227","v","452"
"15227","v","453"
"15256","n","454"
"15274","a","455"
"15274","a","456"
"15238","v","458"
"15270","a","460"
"15270","a","461"
"15275","a","462"
"15275","a","463"
"15278","v","464"
"15278","v","465"
"15404","v","466"
"15404","v","467"
"15426","n","468"
"15286","a","469"
"15286","a","470"
"15480","v","471"
"15480","v","472"
"15538","n","473"
"15571","v","474"
"15571","v","475"
"15640","v","476"
"15706","v","477"
"15706","v","479"
"15706","v","481"
"15782","n","484"
"15798","n","485"
"15825","n","486"
"15962","n","487"
"15969","a","488"
"15979","n","489"
"16006","a","490"
"16006","a","491"
"15987","n","492"
"16000","a","493"
"16000","a","494"
"16111","n","497"
"16120","n","498"
"16172","v","499"
"16172","v","500"
"16188","a","501"
"16188","a","502"
"16189","v","503"
"16189","v","504"
"16202","n","505"
"12431","v","508"
"12431","v","509"
"12431","v","510"
"16301","a","511"
"16301","a","512"
"16318","a","513"
"16318","a","514"
"16357","a","516"
"16357","a","517"
"16360","a","518"
"18879","v","520"
"16485","a","521"
"16485","a","522"
"14013","v","523"
"16499","a","524"
"16577","a","525"
"16632","n","526"
"16653","n","527"
"16720","n","528"
"16774","v","529"
"16774","v","530"
"16831","n","531"
"16846","a","532"
"16846","a","533"
"16887","n","534"
"16926","n","535"
"17219","n","535"
"16986","a","538"
"16986","a","539"
"16998","n","540"
"17005","n","541"
"17012","a","542"
"17012","a","543"
"17199","v","547"
"17210","a","548"
"17210","a","549"
"17211","n","550"
"17729","n","551"
"17233","v","552"
"17233","v","553"
"17368","v","554"
"17368","v","555"
"17412","a","556"
"17412","a","557"
"17488","a","558"
"17546","n","559"
"17548","a","560"
"17556","n","561"
"17075","v","562"
"17075","v","563"
"17663","n","564"
"17690","a","565"
"17694","a","566"
"17694","a","567"
"17730","n","568"
"17383","v","569"
"17744","v","570"
"17942","n","572"
"17970","a","573"
"17970","a","574"
"17972","n","575"
"18042","n","577"
"18050","v","578"
"18050","v","579"
"18083","n","580"
"18130","v","581"
"18143","a","582"
"18143","a","583"
"18130","v","584"
"18153","v","585"
"18220","a","586"
"18220","a","587"
"18242","n","588"
"18248","v","589"
"18294","v","590"
"18291","v","591"
"18291","v","592"
"18301","v","595"
"18301","v","596"
"18309","v","597"
"18309","v","598"
"18339","a","599"
"18339","a","600"
"18352","a","601"
"18352","a","602"
"18437","n","604"
"18438","n","605"
"18595","v","606"
"18502","a","607"
"18502","a","608"
"18513","v","609"
"18415","v","610"
"18567","a","611"
"18567","a","612"
"18415","v","613"
"18568","n","614"
"18584","a","615"
"18640","v","618"
"18640","v","619"
"18651","a","620"
"18651","a","621"
"18723","v","622"
"18723","a","623"
"18723","a","624"
"18598","n","625"
"18716","a","626"
"18722","a","627"
"18722","a","628"
"18803","n","629"
"18966","v","630"
"18978","n","631"
"19027","v","632"
"19027","v","633"
"19134","n","634"
"19150","v","635"
"19158","v","635"
"19150","v","636"
"19158","v","636"
"19150","v","637"
"19158","v","637"
"19182","n","638"
"19188","n","639"
"19220","n","640"
"19246","a","641"
"19246","a","642"
"19318","n","643"
"19335","n","645"
"19713","n","646"
"19352","v","647"
"19392","n","648"
"19443","n","651"
"19626","n","652"
"19424","n","653"
"19739","n","654"
"19760","n","655"
"27533","v","656"
"19795","n","657"
"19862","a","658"
"19958","n","659"
"19952","v","660"
"19952","v","661"
"19995","v","662"
"19995","v","663"
"20021","n","664"
"20061","v","665"
"19905","v","667"
"20180","a","668"
"20180","a","669"
"19905","v","670"
"20205","v","671"
"20224","a","672"
"20235","n","673"
"20257","a","674"
"20257","a","675"
"20720","n","678"
"20602","n","679"
"20280","v","680"
"20280","v","681"
"20637","n","682"
"20849","n","684"
"20881","v","685"
"20881","v","686"
"20904","n","687"
"21060","n","688"
"21468","n","689"
"21094","v","690"
"21094","v","691"
"21097","n","692"
"21176","v","694"
"21220","n","695"
"21197","v","696"
"21197","v","697"
"21306","n","698"
"21346","v","700"
"21479","n","702"
"21479","n","703"
"21670","a","705"
"21707","n","706"
"21799","n","710"
"21878","a","711"
"21878","a","712"
"21909","n","713"
"21923","n","714"
"21961","n","716"
"21987","v","717"
"21987","v","718"
"22005","n","719"
"21728","v","720"
"22030","a","721"
"22030","a","722"
"21728","v","723"
"22059","n","724"
"21851","v","725"
"22136","n","729"
"22143","v","730"
"22143","v","731"
"22220","n","733"
"22382","n","735"
"22469","n","736"
"22587","n","737"
"22628","a","739"
"22673","n","740"
"22673","n","741"
"22704","n","743"
"22729","n","744"
"22776","v","745"
"22805","n","746"
"22909","n","750"
"22979","n","751"
"22982","n","752"
"61493","n","753"
"23108","a","755"
"23108","a","756"
"23163","v","757"
"23163","v","758"
"23206","n","759"
"23207","n","760"
"23208","n","761"
"23199","v","762"
"23199","v","763"
"23447","a","764"
"23447","a","765"
"23228","v","766"
"23228","v","767"
"23454","n","768"
"23460","n","769"
"23478","n","770"
"23474","v","771"
"23497","a","772"
"23497","a","773"
"23474","v","774"
"23587","a","777"
"23587","a","778"
