"synsetid","wordid","sentenceid"
"200014405","110764","14"
"200014742","78745","14"
"200014742","121056","14"
"200014742","121371","14"
"200018158","7762","14"
"200018158","111949","14"
"200018158","136312","14"
"200020671","66642","15"
"200020671","83982","15"
"200020926","42764","159"
"200020926","123590","159"
"200021065","5560","143"
"200025654","79112","159"
"200025654","109960","159"
"200025654","138532","159"
"200025654","139236","159"
"200026385","34391","14"
"200026385","79112","14"
"200026385","109960","14"
"200026385","121329","14"
"200026385","137232","14"
"200030647","17082","14"
"200030647","27142","14"
"200033203","58014","16"
"200033203","58272","26"
"200033406","125183","26"
"200033599","79040","118"
"200035259","119312","97"
"200035259","119312","98"
"200035603","12030","97"
"200035603","12030","98"
"200035758","25789","98"
"200035758","25817","98"
"200036362","142884","97"
"200036362","142884","98"
"200036932","75745","143"
"200036932","121962","143"
"200037298","118580","146"
"200037514","42997","146"
"200038365","27470","146"
"200038365","27472","146"
"200038365","37274","146"
"200038687","121052","146"
"200038687","121148","146"
"200038687","121149","146"
"200038849","8006","146"
"200038849","26997","146"
"200038849","26998","146"
"200038849","27001","146"
"200038849","38006","146"
"200038849","39110","146"
"200038849","118067","146"
"200039121","15571","146"
"200039385","81784","146"
"200039488","143265","146"
"200039824","98607","146"
"200039950","53143","146"
"200039950","87110","146"
"200040188","49703","146"
"200040188","130737","146"
"200041687","28601","146"
"200042017","118480","146"
"200043683","103863","97"
"200043683","103863","98"
"200043683","104464","97"
"200043683","104464","98"
"200045639","32561","73"
"200045639","39110","73"
"200045639","60195","73"
"200046534","39110","97"
"200046534","39110","98"
"200047317","135893","117"
"200047317","135895","117"
"200049900","37608","97"
"200049900","37608","98"
"200049900","126722","97"
"200049900","137820","97"
"200049900","137820","98"
"200050454","129833","117"
"200062203","83674","97"
"200064487","82402","143"
"200064643","66074","143"
"200065070","66074","14"
"200065070","127682","14"
"200067274","15279","14"
"200067545","98834","14"
"200067545","128777","14"
"200067545","128777","144"
"200071178","133983","140"
"200071178","134054","140"
"200074834","14935","144"
"200075021","47303","15"
"200075021","133308","15"
"200075021","143390","129"
"200075021","143393","15"
"200075021","143396","15"
"200075021","143411","129"
"200075421","44693","159"
"200078760","21027","143"
"200078760","134978","143"
"200080705","91662","143"
"200080929","81549","143"
"200082714","39110","143"
"200082929","101248","143"
"200082929","103389","143"
"200083124","11217","143"
"200083661","124086","143"
"200083809","93368","143"
"200083809","93369","143"
"200085907","114399","143"
"200086320","69324","143"
"200091124","111593","143"
"200091124","124350","143"
"200091124","136290","143"
"200091124","136561","143"
"200091124","146031","143"
"200091124","146046","143"
"200094153","66607","144"
"200096264","5395","144"
"200096264","5891","144"
"200097621","109724","127"
"200099721","44677","97"
"200099721","44677","98"
"200100551","44677","73"
"200100551","145783","73"
"200101956","123652","44"
"200101956","124016","44"
"200101956","124470","44"
"200107739","17075","143"
"200107739","50865","143"
"200108303","50865","7"
"200108909","95623","143"
"200117985","110071","109"
"200117985","125393","109"
"200123170","23120","29"
"200125841","60366","109"
"200125841","136290","109"
"200126143","10985","97"
"200126264","23120","102"
"200143914","136561","46"
"200148597","45650","14"
"200148763","128575","40"
"200149469","121999","126"
"200149469","121999","159"
"200149583","12580","109"
"200149583","57446","109"
"200149583","58418","45"
"200152558","119375","103"
"200152558","119386","103"
"200153263","68414","102"
"200154778","42558","102"
"200155046","17075","133"
"200155143","25986","133"
"200155143","58467","133"
"200155143","111949","133"
"200156601","68414","103"
"200157844","42558","103"
"200158222","2182","133"
"200158222","52309","134"
"200158804","1141","151"
"200158804","4444","151"
