"1","0.2","0.2","Basic Transitive","","<NP value=\"Agent\"><SYNRESTRS/></NP><VERB/><NP value=\"Theme\"><SYNRESTRS/></NP>","<PRED value=\"motion\"><ARGS><ARG type=\"Event\" value=\"during(E)\"/><ARG type=\"ThemRole\" value=\"Agent\"/></ARGS></PRED><PRED value=\"motion\"><ARGS><ARG type=\"Event\" value=\"during(E)\"/><ARG type=\"ThemRole\" value=\"Theme\"/></ARGS></PRED>"
"2","0.2","","NP-PP","path-PP","<NP value=\"Agent\"><SYNRESTRS/></NP><VERB/><NP value=\"Theme\"><SYNRESTRS/></NP><PREP><SELRESTRS><SELRESTR Value=\"+\" type=\"spatial\"/></SELRESTRS></PREP><NP value=\"Destination\"><SYNRESTRS/></NP>","<PRED value=\"motion\"><ARGS><ARG type=\"Event\" value=\"during(E)\"/><ARG type=\"ThemRole\" value=\"Agent\"/></ARGS></PRED><PRED value=\"motion\"><ARGS><ARG type=\"Event\" value=\"during(E)\"/><ARG type=\"ThemRole\" value=\"Theme\"/></ARGS></PRED><PRED value=\"Prep\"><ARGS><ARG type=\"Event\" value=\"E\"/><ARG type=\"ThemRole\" value=\"Theme\"/><ARG type=\"ThemRole\" value=\"Destination\"/></ARGS></PRED><PRED value=\"Prep\"><ARGS><ARG type=\"Event\" value=\"E\"/><ARG type=\"ThemRole\" value=\"Agent\"/><ARG type=\"ThemRole\" value=\"Destination\"/></ARGS></PRED>"
"3","0.2","","Basic Transitive","","<NP value=\"Experiencer\"><SYNRESTRS/></NP><VERB/><NP value=\"Theme\"><SYNRESTRS/></NP>","<PRED value=\"emotional_state\"><ARGS><ARG type=\"Event\" value=\"E\"/><ARG type=\"VerbSpecific\" value=\"Emotion\"/><ARG type=\"ThemRole\" value=\"Experiencer\"/></ARGS></PRED><PRED value=\"in_reaction_to\"><ARGS><ARG type=\"Event\" value=\"E\"/><ARG type=\"ThemRole\" value=\"Theme\"/></ARGS></PRED>"
"4","2.13.1","","NP-PP","Possessor Object\, Predicate-PP","<NP value=\"Experiencer\"><SYNRESTRS/></NP><VERB/><NP value=\"Theme\"><SELRESTRS/></NP><PREP value=\"for\"><SELRESTRS/></PREP><NP value=\"Predicate\"><SYNRESTRS/></NP>","<PRED value=\"emotional_state\"><ARGS><ARG type=\"Event\" value=\"E\"/><ARG type=\"VerbSpecific\" value=\"Emotion\"/><ARG type=\"ThemRole\" value=\"Experiencer\"/></ARGS></PRED><PRED value=\"in_reaction_to\"><ARGS><ARG type=\"Event\" value=\"E\"/><ARG type=\"ThemRole\" value=\"Theme\"/></ARGS></PRED>"
"5","2.13.2","","NP-PP","Predicate Object\, Possessor-PP","<NP value=\"Experiencer\"><SYNRESTRS/></NP><VERB/><NP value=\"Predicate\"><SYNRESTRS/></NP><PREP value=\"in\"><SELRESTRS/></PREP><NP value=\"Theme\"><SELRESTRS/></NP>","<PRED value=\"emotional_state\"><ARGS><ARG type=\"Event\" value=\"E\"/><ARG type=\"VerbSpecific\" value=\"Emotion\"/><ARG type=\"ThemRole\" value=\"Experiencer\"/></ARGS></PRED><PRED value=\"in_reaction_to\"><ARGS><ARG type=\"Event\" value=\"E\"/><ARG type=\"ThemRole\" value=\"Theme\"/></ARGS></PRED>"
"6","0.5","","S","","<NP value=\"Experiencer\"><SYNRESTRS/></NP><VERB/><NP value=\"Theme\"><SYNRESTRS><SYNRESTR Value=\"+\" type=\"that_comp\"/></SYNRESTRS></NP>","<PRED value=\"emotional_state\"><ARGS><ARG type=\"Event\" value=\"E\"/><ARG type=\"VerbSpecific\" value=\"Emotion\"/><ARG type=\"ThemRole\" value=\"Experiencer\"/></ARGS></PRED><PRED value=\"in_reaction_to\"><ARGS><ARG type=\"Event\" value=\"E\"/><ARG type=\"ThemRole\" value=\"Theme\"/></ARGS></PRED>"
"7","8.1","0.2","ING-SC/BE-ING","","<NP value=\"Experiencer\"><SYNRESTRS/></NP><VERB/><NP value=\"Theme\"><SYNRESTRS><SYNRESTR Value=\"+\" type=\"be_sc_ing\"/></SYNRESTRS></NP>","<PRED value=\"emotional_state\"><ARGS><ARG type=\"Event\" value=\"E\"/><ARG type=\"VerbSpecific\" value=\"Emotion\"/><ARG type=\"ThemRole\" value=\"Experiencer\"/></ARGS></PRED><PRED value=\"in_reaction_to\"><ARGS><ARG type=\"Event\" value=\"E\"/><ARG type=\"ThemRole\" value=\"Theme\"/></ARGS></PRED>"
"8","8.1","0.2","POSSING","","<NP value=\"Experiencer\"><SYNRESTRS/></NP><VERB/><NP value=\"Theme\"><SYNRESTRS><SYNRESTR Value=\"+\" type=\"poss_ing\"/></SYNRESTRS></NP>","<PRED value=\"emotional_state\"><ARGS><ARG type=\"Event\" value=\"E\"/><ARG type=\"VerbSpecific\" value=\"Emotion\"/><ARG type=\"ThemRole\" value=\"Experiencer\"/></ARGS></PRED><PRED value=\"in_reaction_to\"><ARGS><ARG type=\"Event\" value=\"E\"/><ARG type=\"ThemRole\" value=\"Theme\"/></ARGS></PRED>"
"9","8.1","0.1","TO-INF-SC","","<NP value=\"Experiencer\"><SYNRESTRS/></NP><VERB/><NP value=\"Theme\"><SYNRESTRS><SYNRESTR Value=\"+\" type=\"sc_to_inf\"/></SYNRESTRS></NP>","<PRED value=\"emotional_state\"><ARGS><ARG type=\"Event\" value=\"E\"/><ARG type=\"VerbSpecific\" value=\"Emotion\"/><ARG type=\"ThemRole\" value=\"Experiencer\"/></ARGS></PRED><PRED value=\"in_reaction_to\"><ARGS><ARG type=\"Event\" value=\"E\"/><ARG type=\"ThemRole\" value=\"Theme\"/></ARGS></PRED>"
"10","8.1","0.2","NP","","<NP value=\"Agent\"><SYNRESTRS/></NP><VERB/><NP value=\"Theme\"><SYNRESTRS/></NP>","<PRED value=\"admit\"><ARGS><ARG type=\"Event\" value=\"during(E)\"/><ARG type=\"ThemRole\" value=\"Agent\"/><ARG type=\"ThemRole\" value=\"Theme\"/><ARG type=\"ThemRole\" value=\"?Location\"/></ARGS></PRED>"
"11","8.1","0.2","NP-ADVP-PRED","","<NP value=\"Agent\"><SYNRESTRS/></NP><VERB/><NP value=\"Theme\"><SYNRESTRS/></NP><NP value=\"Location\"><SYNRESTRS><SYNRESTR Value=\"+\" type=\"adv_loc\"/></SYNRESTRS></NP>","<PRED value=\"admit\"><ARGS><ARG type=\"Event\" value=\"during(E)\"/><ARG type=\"ThemRole\" value=\"Agent\"/><ARG type=\"ThemRole\" value=\"Theme\"/><ARG type=\"ThemRole\" value=\"Location\"/></ARGS></PRED>"
"12","8.1","0.1","NP-PP","locative-PP","<NP value=\"Agent\"><SYNRESTRS/></NP><VERB/><NP value=\"Theme\"><SYNRESTRS/></NP><PREP><SELRESTRS><SELRESTR Value=\"+\" type=\"loc\"/></SELRESTRS></PREP><NP value=\"Location\"><SELRESTRS logic=\"or\"><SELRESTR Value=\"+\" type=\"location\"/><SELRESTR Value=\"-\" type=\"region\"/></SELRESTRS></NP>","<PRED value=\"admit\"><ARGS><ARG type=\"Event\" value=\"during(E)\"/><ARG type=\"ThemRole\" value=\"Agent\"/><ARG type=\"ThemRole\" value=\"Theme\"/><ARG type=\"ThemRole\" value=\"Location\"/></ARGS></PRED>"
"13","0.2","0.2","Basic Transitive","","<NP value=\"Agent\"><SYNRESTRS/></NP><VERB/><NP value=\"Theme\"><SYNRESTRS/></NP>","<PRED value=\"adopt\"><ARGS><ARG type=\"Event\" value=\"during(E)\"/><ARG type=\"ThemRole\" value=\"Agent\"/><ARG type=\"ThemRole\" value=\"Theme\"/></ARGS></PRED>"
"14","0.2","0.2","Basic Transitive","Recipient Object","<NP value=\"Agent\"><SYNRESTRS/></NP><VERB/><NP value=\"Recipient\"><SYNRESTRS/></NP>","<PRED value=\"transfer_info\"><ARGS><ARG type=\"Event\" value=\"during(E)\"/><ARG type=\"ThemRole\" value=\"Agent\"/><ARG type=\"ThemRole\" value=\"Recipient\"/><ARG type=\"ThemRole\" value=\"?Topic\"/></ARGS></PRED><PRED value=\"cause\"><ARGS><ARG type=\"ThemRole\" value=\"Agent\"/><ARG type=\"Event\" value=\"E\"/></ARGS></PRED>"
