"selrestrsid","selrestrs"
"1","<SELRESTRS><SELRESTR Value=\"+\" type=\"animate\"/></SELRESTRS>"
"2","<SELRESTRS/>"
"3","<SELRESTRS logic=\"or\"><SELRESTR Value=\"+\" type=\"animate\"/><SELRESTR Value=\"+\" type=\"organization\"/></SELRESTRS>"
"4","<SELRESTRS><SELRESTR Value=\"+\" type=\"animate\"/><SELRESTR Value=\"+\" type=\"organization\"/></SELRESTRS>"
"5","<SELRESTRS><SELRESTR Value=\"+\" type=\"communication\"/></SELRESTRS>"
"6","<SELRESTRS logic=\"or\"><SELRESTR Value=\"+\" type=\"animate\"/><SELRESTR Value=\"+\" type=\"machine\"/></SELRESTRS>"
"7","<SELRESTRS><SELRESTR Value=\"+\" type=\"concrete\"/></SELRESTRS>"
"8","<SELRESTRS logic=\"or\"><SELRESTR Value=\"+\" type=\"animate\"/><SELRESTR Value=\"+\" type=\"abstract\"/></SELRESTRS>"
"9","<SELRESTRS><SELRESTR Value=\"+\" type=\"animal\"/></SELRESTRS>"
"10","<SELRESTRS><SELRESTR Value=\"+\" type=\"location\"/><SELRESTR Value=\"-\" type=\"region\"/></SELRESTRS>"
"11","<SELRESTRS><SELRESTR Value=\"+\" type=\"location\"/></SELRESTRS>"
"12","<SELRESTRS><SELRESTR Value=\"+\" type=\"int_control\"/></SELRESTRS>"
"13","<SELRESTRS><SELRESTR Value=\"+\" type=\"solid\"/></SELRESTRS>"
"14","<SELRESTRS><SELRESTR Value=\"+\" type=\"currency\"/></SELRESTRS>"
"15","<SELRESTRS><SELRESTR Value=\"+\" type=\"refl\"/></SELRESTRS>"
"16","<SELRESTRS><SELRESTR Value=\"+\" type=\"body_part\"/></SELRESTRS>"
"17","<SELRESTRS logic=\"or\"><SELRESTR Value=\"+\" type=\"animate\"/><SELRESTRS><SELRESTR Value=\"+\" type=\"location\"/><SELRESTR Value=\"-\" type=\"region\"/></SELRESTRS></SELRESTRS>"
"18","<SELRESTRS><SELRESTR Value=\"+\" type=\"scalar\"/></SELRESTRS>"
"19","<SELRESTRS logic=\"or\"><SELRESTR Value=\"+\" type=\"concrete\"/><SELRESTR Value=\"+\" type=\"organization\"/></SELRESTRS>"
"20","<SELRESTRS><SELRESTR Value=\"+\" type=\"comestible\"/></SELRESTRS>"
"21","<SELRESTRS><SELRESTR Value=\"+\" type=\"comestible\"/><SELRESTR Value=\"+\" type=\"solid\"/></SELRESTRS>"
"22","<SELRESTRS><SELRESTR Value=\"+\" type=\"comestible\"/><SELRESTR Value=\"-\" type=\"solid\"/></SELRESTRS>"
"23","<SELRESTRS><SELRESTR Value=\"-\" type=\"region\"/></SELRESTRS>"
"24","<SELRESTRS><SELRESTR Value=\"+\" type=\"nonrigid\"/><SELRESTR Value=\"+\" type=\"elongated\"/></SELRESTRS>"
"25","<SELRESTRS><SELRESTR Value=\"+\" type=\"time\"/></SELRESTRS>"
"26","<SELRESTRS><SELRESTR Value=\"+\" type=\"abstract\"/></SELRESTRS>"
